%SOC start, 50.0
time,C_rate
939,0.20432
940,-0.092171
941,0.19975
942,-0.16494
943,0.47995
944,0.63447
945,0.57758
946,-0.16821
947,-0.61314
948,-1.2302
949,-1.0678
950,-1.7546
951,-1.5307
952,-1.2355
953,-0.93785
954,-0.63844
955,-0.33781
956,-0.0021412
957,0
958,0
959,0
960,0.20872
961,0.55345
962,0.8991
963,1.2463
964,1.1448
965,0.6989
966,0.91025
967,0.80375
968,0.72538
969,0.82382
970,1.205
971,1.5062
972,1.1554
973,0.7236
974,0.49194
975,0.33006
976,0.24716
977,0.24716
978,-0.42885
979,0.072642
980,-0.010228
981,-0.091953
982,-0.012684
983,-0.17081
984,-0.015233
985,-0.16852
986,-0.68997
987,-1.2302
988,-0.15461
989,0.16639
990,0.35763
991,0.62191
992,0.51032
993,0.045702
994,0.17995
995,0.31515
996,-0.022491
997,0.17888
998,0.17888
999,0.71732
1000,0.53589
1001,0.61997
1002,0.34563
1003,0.42262
1004,0.50316
1005,0.28573
1006,0.1354
1007,-0.1679
1008,-0.46279
1009,-0.091692
1010,-0.16165
1011,-0.022115
1012,-0.090571
1013,-0.15679
1014,-0.089382
1015,-0.53706
1016,-1.6671
1017,-1.5841
1018,-1.2893
1019,-0.99212
1020,-0.69299
1021,-0.39254
1022,-0.02314
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0.10743
1054,0.41757
1055,0.76279
1056,1.1093
1057,1.3752
1058,0.87977
1059,0.96002
1060,1.2188
1061,0.94509
1062,0.86403
1063,0.76228
1064,0.79027
1065,0.89442
1066,0.45775
1067,0.70246
1068,0.63932
1069,0.57033
1070,-0.0071566
1071,-0.17438
1072,-0.1733
1073,0.22816
1074,-0.33222
1075,-1.184
1076,-1.2542
1077,-0.49035
1078,-0.40733
1079,-1.4307
1080,-1.4684
1081,-1.0942
1082,-0.35263
1083,-0.088687
1084,-0.11643
1085,-0.080517
1086,-0.048571
1087,-0.046706
1088,0.032566
1089,0.10865
1090,0.11126
1091,-0.019552
1092,0.032566
1093,-0.09534
1094,-0.18378
1095,-0.36863
1096,-0.085732
1097,-0.17172
1098,-0.10638
1099,-0.02314
1100,0
1101,0.0021331
1102,0.021694
1103,0.1053
1104,0.37578
1105,0.67997
1106,0.89791
1107,0.54429
1108,0.30595
1109,0.74735
1110,1.1112
1111,1.1532
1112,0.74445
1113,0.28586
1114,0.2262
1115,0.22751
1116,0.35572
1117,0.68315
1118,0.51032
1119,0.72764
1120,0.68476
1121,0.56183
1122,0.1302
1123,0.12935
1124,0.34909
1125,0.50082
1126,0.5102
1127,0.36665
1128,0.52439
1129,0.37738
1130,0.45986
1131,0.30668
1132,0.22816
1133,0.22816
1134,0.1481
1135,0.14717
1136,0.2257
1137,-0.012684
1138,0.14347
1139,-0.092267
1140,-0.16941
1141,-0.47033
1142,-0.60256
1143,-1.206
1144,-0.78981
1145,-1.331
1146,-0.65014
1147,-0.83376
1148,-1.2714
1149,-0.97404
1150,-0.67481
1151,-0.3743
1152,-0.013769
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0.21916
1170,0.56391
1171,0.9096
1172,1.2568
1173,1.6061
1174,1.5169
1175,1.351
1176,0.52306
1177,-0.16088
1178,-0.15888
1179,-1.491
1180,-1.8054
1181,-1.5129
1182,-1.2175
1183,-0.91975
1184,-0.62025
1185,-0.31956
1186,0.00011532
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0.0090101
1198,0.098717
1199,0.33421
1200,0.679
1201,0.70551
1202,0.4029
1203,0.1279
1204,-0.063736
1205,0.16203
1206,0.20273
1207,0.091228
1208,0.44079
1209,0.72104
1210,0.80013
1211,0.93017
1212,0.7448
1213,0.90788
1214,0.47265
1215,0.35763
1216,0.16946
1217,-0.024443
1218,-0.024851
1219,0.35191
1220,0.35763
1221,0.29874
1222,0.1063
1223,0.040632
1224,0.039757
1225,0.16639
1226,0.10264
1227,-0.65948
1228,-0.20514
1229,-0.026803
1230,0.3715
1231,0.26383
1232,0.26694
1233,-0.14503
1234,-1.0097
1235,-0.90958
1236,-1.0381
1237,-1.0659
1238,-0.52526
1239,-0.42097
1240,-0.31618
1241,-0.1517
1242,-0.11711
1243,-0.0099728
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0.006509
1253,0.006509
1254,0.006509
1255,0.006509
1256,0.024299
1257,0.076836
1258,0.10854
1259,0.14479
1260,0.22559
1261,0.3592
1262,0.52781
1263,0.21598
1264,-0.23992
1265,-0.21757
1266,-0.16988
1267,0.32102
1268,0.63309
1269,1.0535
1270,1.3437
1271,1.3838
1272,1.0139
1273,0.65944
1274,0.42801
1275,0.70019
1276,0.59125
1277,0.53846
1278,0.47995
1279,0.19862
1280,-0.16459
1281,-0.16278
1282,0.18751
1283,0.18751
1284,0.18751
1285,0.18751
1286,0.18751
1287,0.53589
1288,0.26417
1289,0.47995
1290,0.3439
1291,0.42059
1292,0.50082
1293,0.35958
1294,0.2872
1295,0.44107
1296,0.37021
1297,0.83987
1298,0.86858
1299,0.65029
1300,0.83192
1301,0.3397
1302,0.16876
1303,-0.60611
1304,-2.4989
1305,-2.2158
1306,-1.9285
1307,-1.6374
1308,-1.3431
1309,-1.0463
1310,-0.74749
1311,-0.44724
1312,-0.065481
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0.15653
1339,0.50117
1340,0.84665
1341,0.68653
1342,0.83562
1343,0.86853
1344,0.86912
1345,0.78651
1346,0.60918
1347,0.75627
1348,0.54327
1349,0.30036
1350,0.36915
1351,-0.089946
1352,-0.089382
1353,-0.1528
1354,-0.21303
1355,-0.14755
1356,-0.085736
1357,-0.49164
1358,-0.41126
1359,-0.39071
1360,-0.36988
1361,-0.57857
1362,-1.1469
1363,-0.90331
1364,-0.61073
1365,-0.38207
1366,-0.169
1367,0
1368,0
1369,0
